"Sepal length","Sepal width","Petal length","Petal width","Species"
1,5.1,3.5,1.4,0.2,"setosa"
2,4.9,3.0,1.4,0.2,"setosa"
3,4.7,3.2,1.3,0.2,"setosa"
4,4.6,3.1,1.5,0.2,"setosa"
5,5.0,3.6,1.4,0.2,"setosa"
6,5.4,3.9,1.7,0.4,"setosa"
7,4.6,3.4,1.4,0.3,"setosa"
8,5.0,3.4,1.5,0.2,"setosa"
9,4.4,2.9,1.4,0.2,"setosa"
10,4.9,3.1,1.5,0.1,"setosa"
11,5.4,3.7,1.5,0.2,"setosa"
12,4.8,3.4,1.6,0.2,"setosa"
13,4.8,3.0,1.4,0.1,"setosa"
14,4.3,3.0,1.1,0.1,"setosa"
15,5.8,4.0,1.2,0.2,"setosa"
16,5.7,4.4,1.5,0.4,"setosa"
17,5.4,3.9,1.3,0.4,"setosa"
18,5.1,3.5,1.4,0.3,"setosa"
19,5.7,3.8,1.7,0.3,"setosa"
20,5.1,3.8,1.5,0.3,"setosa"
21,5.4,3.4,1.7,0.2,"setosa"
22,5.1,3.7,1.5,0.4,"setosa"
23,4.6,3.6,1.0,0.2,"setosa"
24,5.1,3.3,1.7,0.5,"setosa"
25,4.8,3.4,1.9,0.2,"setosa"
26,5.0,3.0,1.6,0.2,"setosa"
27,5.0,3.4,1.6,0.4,"setosa"
28,5.2,3.5,1.5,0.2,"setosa"
29,5.2,3.4,1.4,0.2,"setosa"
30,4.7,3.2,1.6,0.2,"setosa"
31,4.8,3.1,1.6,0.2,"setosa"
32,5.4,3.4,1.5,0.4,"setosa"
33,5.2,4.1,1.5,0.1,"setosa"
34,5.5,4.2,1.4,0.2,"setosa"
35,4.9,3.1,1.5,0.2,"setosa"
36,5.0,3.2,1.2,0.2,"setosa"
37,5.5,3.5,1.3,0.2,"setosa"
38,4.9,3.6,1.4,0.1,"setosa"
39,4.4,3.0,1.3,0.2,"setosa"
40,5.1,3.4,1.5,0.2,"setosa"
41,5.0,3.5,1.3,0.3,"setosa"
42,4.5,2.3,1.3,0.3,"setosa"
43,4.4,3.2,1.3,0.2,"setosa"
44,5.0,3.5,1.6,0.6,"setosa"
45,5.1,3.8,1.9,0.4,"setosa"
46,4.8,3.0,1.4,0.3,"setosa"
47,5.1,3.8,1.6,0.2,"setosa"
48,4.6,3.2,1.4,0.2,"setosa"
49,5.3,3.7,1.5,0.2,"setosa"
50,5.0,3.3,1.4,0.2,"setosa"
51,6.3,3.3,6.0,2.5,"virginica"
52,5.8,2.7,5.1,1.9,"virginica"
53,7.1,3.0,5.9,2.1,"virginica"
54,6.3,2.9,5.6,1.8,"virginica"
55,6.5,3.0,5.8,2.2,"virginica"
56,7.6,3.0,6.6,2.1,"virginica"
57,4.9,2.5,4.5,1.7,"virginica"
58,7.3,2.9,6.3,1.8,"virginica"
59,6.7,2.5,5.8,1.8,"virginica"
60,7.2,3.6,6.1,2.5,"virginica"
61,6.5,3.2,5.1,2.0,"virginica"
62,6.4,2.7,5.3,1.9,"virginica"
63,6.8,3.0,5.5,2.1,"virginica"
64,5.7,2.5,5.0,2.0,"virginica"
65,5.8,2.8,5.1,2.4,"virginica"
66,6.4,3.2,5.3,2.3,"virginica"
67,6.5,3.0,5.5,1.8,"virginica"
68,7.7,3.8,6.7,2.2,"virginica"
69,7.7,2.6,6.9,2.3,"virginica"
70,6.0,2.2,5.0,1.5,"virginica"
71,6.9,3.2,5.7,2.3,"virginica"
72,5.6,2.8,4.9,2.0,"virginica"
73,7.7,2.8,6.7,2.0,"virginica"
74,6.3,2.7,4.9,1.8,"virginica"
75,6.7,3.3,5.7,2.1,"virginica"
76,7.2,3.2,6.0,1.8,"virginica"
77,6.2,2.8,4.8,1.8,"virginica"
78,6.1,3.0,4.9,1.8,"virginica"
79,6.4,2.8,5.6,2.1,"virginica"
80,7.2,3.0,5.8,1.6,"virginica"
81,7.4,2.8,6.1,1.9,"virginica"
82,7.9,3.8,6.4,2.0,"virginica"
83,6.4,2.8,5.6,2.2,"virginica"
84,6.3,2.8,5.1,1.5,"virginica"
85,6.1,2.6,5.6,1.4,"virginica"
86,7.7,3.0,6.1,2.3,"virginica"
87,6.3,3.4,5.6,2.4,"virginica"
88,6.4,3.1,5.5,1.8,"virginica"
89,6.0,3.0,4.8,1.8,"virginica"
90,6.9,3.1,5.4,2.1,"virginica"
91,6.7,3.1,5.6,2.4,"virginica"
92,6.9,3.1,5.1,2.3,"virginica"
93,5.8,2.7,5.1,1.9,"virginica"
94,6.8,3.2,5.9,2.3,"virginica"
95,6.7,3.3,5.7,2.5,"virginica"
96,6.7,3.0,5.2,2.3,"virginica"
97,6.3,2.5,5.0,1.9,"virginica"
98,6.5,3.0,5.2,2.0,"virginica"
99,6.2,3.4,5.4,2.3,"virginica"
100,5.9,3.0,5.1,1.8,"virginica"
101,7.0,3.2,4.7,1.4,"versicolor"
102,6.4,3.2,4.5,1.5,"versicolor"
103,6.9,3.1,4.9,1.5,"versicolor"
104,5.5,2.3,4.0,1.3,"versicolor"
105,6.5,2.8,4.6,1.5,"versicolor"
106,5.7,2.8,4.5,1.3,"versicolor"
107,6.3,3.3,4.7,1.6,"versicolor"
108,4.9,2.4,3.3,1.0,"versicolor"
109,6.6,2.9,4.6,1.3,"versicolor"
110,5.2,2.7,3.9,1.4,"versicolor"
111,5.0,2.0,3.5,1.0,"versicolor"
112,5.9,3.0,4.2,1.5,"versicolor"
113,6.0,2.2,4.0,1.0,"versicolor"
114,6.1,2.9,4.7,1.4,"versicolor"
115,5.6,2.9,3.6,1.3,"versicolor"
116,6.7,3.1,4.4,1.4,"versicolor"
117,5.6,3.0,4.5,1.5,"versicolor"
118,5.8,2.7,4.1,1.0,"versicolor"
119,6.2,2.2,4.5,1.5,"versicolor"
120,5.6,2.5,3.9,1.1,"versicolor"
121,5.9,3.2,4.8,1.8,"versicolor"
122,6.1,2.8,4.0,1.3,"versicolor"
123,6.3,2.5,4.9,1.5,"versicolor"
124,6.1,2.8,4.7,1.2,"versicolor"
125,6.4,2.9,4.3,1.3,"versicolor"
126,6.6,3.0,4.4,1.4,"versicolor"
127,6.8,2.8,4.8,1.4,"versicolor"
128,6.7,3.0,5.0,1.7,"versicolor"
129,6.0,2.9,4.5,1.5,"versicolor"
130,5.7,2.6,3.5,1.0,"versicolor"
131,5.5,2.4,3.8,1.1,"versicolor"
132,5.5,2.4,3.7,1.0,"versicolor"
133,5.8,2.7,3.9,1.2,"versicolor"
134,6.0,2.7,5.1,1.6,"versicolor"
135,5.4,3.0,4.5,1.5,"versicolor"
136,6.0,3.4,4.5,1.6,"versicolor"
137,6.7,3.1,4.7,1.5,"versicolor"
138,6.3,2.3,4.4,1.3,"versicolor"
139,5.6,3.0,4.1,1.3,"versicolor"
140,5.5,2.5,4.0,1.3,"versicolor"
141,5.5,2.6,4.4,1.2,"versicolor"
142,6.1,3.0,4.6,1.4,"versicolor"
143,5.8,2.6,4.0,1.2,"versicolor"
144,5.0,2.3,3.3,1.0,"versicolor"
145,5.6,2.7,4.2,1.3,"versicolor"
146,5.7,3.0,4.2,1.2,"versicolor"
147,5.7,2.9,4.2,1.3,"versicolor"
148,6.2,2.9,4.3,1.3,"versicolor"
149,5.1,2.5,3.0,1.1,"versicolor"
150,5.7,2.8,4.1,1.3,"versicolor"
